question,context
Kapan yudisium ITS akan dilaksanakan?,Yudisium ITS akan dilaksanakan pada tanggal 16 Februari 2024
Kapan Wisuda ITS ke-129 akan dilaksanakan?,Wisuda ITS ke-129 pada tanggal 20-21 April 2024
Apa yang wajib dilakukan oleh calon Wisudawan ITS ke-129 periode wisuda April 2024?,Semua calon Wisudawan ITS ke-129 periode wisuda April 2024 wajib mengisi biodata di menu update wisudawan sampai dengan tanggal 9 Februari 2024
Dokumen apa saja yang harus dipersiapkan oleh calon wisudawan?,"Mempersiapkan dokumen yang akan diunggah antara lain: Ijazah terakhir, KTP, foto formal terbaru berwarna untuk ijazah, dan Akte Kelahiran (apabila diperlukan)"
Apa ketentuan untuk foto formal terbaru berwarna yang diunggah?,"Foto formal terbaru berwarna yang diunggah mempunyai ketentuan: Mempunyai kualitas STUDIO FOTO dengan ekstensi file: .jpg atau .jpeg, Berlatar belakang biru dengan komposisi warna (C: 100 M: 040 Y: 001 K: 001) atau (R: 000 G: 120 B: 193), Mempunyai ukuran proporsional separuh badan, Menghadap lurus kedepan, Tidak menggunakan kacamata, Menampakkan bagian wajah dengan jelas, Memakai jas warna gelap, kemeja putih, dan berdasi hitam (Pria/Wanita)"
Apa kewajiban bagi calon wisudawan yang berhijab?,Khusus bagi wanita yang berhijab warna hijab menyesuaikan dan tidak berdasi
Data apa saja yang dipergunakan sebagai dasar pencetakan ijazah?,"Data yang dipergunakan sebagai dasar pencetakan ijazah (Nama, Tempat Lahir, Tanggal Lahir, NIK) adalah data yang ada pada KTP/Akta kelahiran"
Bagaimana aturan penulisan data di ijazah ITS?,Penulisan data di ijazah ITS menggunakan aturan Proper Case
Apa yang harus dilakukan jika terdapat ketidaksesuaian penulisan nama dan/atau tempat lahir pada preview ijazah?,"Jika ada ketidaksesuaian penulisan nama dan/atau tempat lahir pada preview ijazah dengan data yang dimasukkan, mohon cetak preview ijazahnya kemudian diserahkan ke kantor Direktorat Pendidikan disertai dokumen pendukung"
Kemana bisa menghubungi jika memerlukan informasi lebih lanjut?,"Apabila memerlukan informasi lebih lanjut dapat menghubungi dirpendikcare@its.ac.id atau dicall centre pada hari dan jam kerja melalui no (WA Text Only) 085186819604, 085186819605"
Apa saja kewajiban bagi semua calon wisudawan (Sarjana dan Sarjana Terapan)?,"Bagi semua calon wisudawan (Sarjana dan Sarjana Terapan) wajib menghadap dosen wali untuk persetujuan SKEM, serta wajib melakukan pengajuan SKPI di studentconnect paling lambat tanggal 9 Februari 2024"
Bagaimana ijazah dicetak?,"Ijazah dicetak berdasarkan data preview yang dipermanen oleh calon wisudawan. Ijazah dicetak hanya sekali saja, bila ada kekeliruan pengisian data pada point 3 maka akan diterbitkan surat keterangan"
Bagaimana pelaksanaan wisuda?,Pelaksanaan wisuda akan dilaksanakan secara offline (Informasi mengenai gladi bersih disampaikan lebih lanjut)
Siapa yang menandatangani surat ini?,"Wakil Rektor Bidang Akademik dan Kemahasiswaan, Prof. Dr. Ir. Adi Soeprijanto M.T."
