Question,Expected Answer
Apa tujuan dikeluarkannya Peraturan Rektor Institut Teknologi Sepuluh Nopember Nomor 5 Tahun 2023?,"Tujuan peraturan ini adalah untuk menjamin transparansi pemungutan, penghimpunan, dan penggunaan dana pendidikan."
Apa dasar hukum bagi Peraturan Rektor yang memungkinkan perubahan terkait dana pendidikan di ITS?, Dasar hukumnya termasuk Undang-Undang Nomor 12 Tahun 2012 tentang Pendidikan Tinggi dan berbagai Peraturan Pemerintah dan Peraturan Menteri terkait pendidikan tinggi.
Apa saja yang termasuk dalam dana pendidikan menurut Peraturan Rektor ini?,"Dana pendidikan meliputi UKT, SPP, SPI, dan SPA."
Siapa yang diwajibkan membayar UKT?,Calon Mahasiswa Baru program sarjana dan sarjana terapan yang diterima dari Jalur Seleksi Nasional serta mahasiswa program sarjana dan sarjana terapan yang diterima dari Jalur Seleksi Nasional.
Apa saja syarat untuk pembebasan pembayaran UKT atau SPP?,"Syaratnya antara lain mahasiswa yang mendapat penghargaan, beasiswa fresh graduate, beasiswa fast track, izin cuti studi sebelum masa pembayaran berakhir, dan beasiswa KIP-K pada semester IX dan X."
Bagaimana mekanisme keringanan pembayaran SPP jika mahasiswa mengikuti kegiatan akademik luar ITS?, Mahasiswa aktif yang mengikuti kegiatan akademik di luar ITS selama paling sedikit 8 minggu dalam 1 semester dapat memperoleh keringanan pembayaran hingga 90% untuk kegiatan tertentu.
Apa yang terjadi jika mahasiswa tidak membayar UKT atau SPP tepat waktu?,"Status mahasiswa dinyatakan tidak aktif, dan jika tidak membayar selama 2 semester berturut-turut, dinyatakan mengundurkan diri."
Bagaimana cara aktif kembali bagi mahasiswa yang statusnya tidak aktif karena tidak membayar UKT atau SPP?,Mahasiswa harus mengajukan surat permohonan aktif kembali dan membayar UKT atau SPP selama periode yang tidak dibayar serta semester berikutnya.
Apa saja syarat untuk keringanan dana SPP untuk dosen ITS?,"Syaratnya termasuk tercatat sebagai mahasiswa aktif program doktor, berusia paling rendah 35 tahun, dan memiliki surat keputusan dari kementerian tentang tugas belajar dengan beasiswa."
Bagaimana penyesuaian pembayaran nilai UKT atau SPP dilakukan?,Penyesuaian dilakukan berdasarkan evaluasi kemampuan ekonomi orang tua/wali mahasiswa dan kondisi tertentu seperti mahasiswa KIP-K pada semester XI dan seterusnya atau mahasiswa magister dan doktor pada semester lebih lanjut.
Apa itu Sumbangan Pengembangan Institusi (SPI)?,SPI adalah dana yang dikenakan satu kali saat registrasi kepada calon mahasiswa baru program sarjana/sarjana terapan dan pascasarjana/pascasarjana terapan yang diterima melalui selain Jalur Seleksi Nasional.
Kapan mahasiswa harus membayar UKT atau SPP untuk diaktifkan kembali setelah tidak membayar?,Mahasiswa harus membayar UKT atau SPP paling lambat minggu ke-4 masa perkuliahan untuk diaktifkan kembali.
Siapa yang terkena kewajiban membayar SPA?,Mahasiswa program sarjana dan sarjana terapan yang diterima melalui jalur mandiri kecuali seleksi mandiri prestasi.
Apa yang dilakukan jika mahasiswa ingin mengajukan keringanan UKT/SPP?,Mahasiswa mengajukan permohonan melalui SIPMABA di portal ITS dan mengisi data serta mengunggah dokumen pendukung alasan keringanan UKT.
Siapa yang dapat memberikan persetujuan akhir pembebasan SPP bagi mahasiswa yang memenuhi syarat?,Pembebasan SPP dilakukan dengan keputusan Rektor dan dalam beberapa kasus dengan keputusan Wakil Rektor yang membidangi akademik.
Berapa persen keringanan pembayaran UKT atau SPP untuk mahasiswa magister yang telah menyelesaikan semua mata kuliah tapi belum lulus yudisium?,Paling banyak 90% pada semester berjalan.
Apakah mahasiswa luar ITS yang mengikuti kegiatan akademik di ITS harus membayar SPP? ,"Ya,  mereka harus membayar SPP sesuai dengan perjanjian kerjasama."
Mengapa Peraturan Rektor Nomor 16 Tahun 2021 perlu diubah? ,Karena tidak lagi sesuai dengan kebutuhan pengelolaan dana pendidikan di lingkungan Institut Teknologi Sepuluh Nopember.
Sebutkan salah satu dasar hukum perubahan peraturan ini.,Undang-Undang Nomor 12 Tahun 2012 tentang Pendidikan Tinggi.
Apa yang terjadi jika mahasiswa tidak membayar UKT atau SPP? ,"Status mahasiswa dinyatakan tidak aktif dan jika tidak membayar selama 2 semester berturut-turut, dinyatakan mengundurkan diri."
