question,context
Apakah syarat mengambil mata kuliah Pra-TA?,Syarat untuk mengambil mata kuliah Pra-TA adalah mahasiswa telah menempuh 100 SKS.
Bolehkah saya mengambil Pra-TA dan TA pada semester yang bersamaan?,"Jika di semester sebelumnya sudah pernah mengambil Pra-TA dan tidak berhasil mengumpulkan proposal TA, maka boleh diambil bersamaan dengan TA di semester sekarang."
"Untuk mengambil mata kuliah Tugas Akhir, apakah ada jumlah minimum SKS yang harus diambil untuk mata kuliah dengan RMK TA yang sama?","Tidak ada aturan yang baku yang mengatur ini. Hanya saja, akan sangat membantu TA jika difokuskan untuk mengambil MK yang mendukung TA yang akan diambil di sebuah RMK."
Bagaimana prosedur pergantian Judul Tugas Akhir?,"Jika Pembimbing dan RMK tetap dan hanya melakukan penyesuaian judul/metode, maka cukup dilakukan dengan mengisi form pergantian judul yang ada di link akademik. Jika TA expired atau jika pembimbing dan/atau RMK ganti, maka mesti mengajukan proposal TA ulang dan mengambil Pra-TA lagi."
"Setelah sidang, apa yang perlu dilakukan?","1. Menyelesaikan revisi (jika ada)
2. Mendapatkan persetujuan dari penguji terhadap revisi yang diberikan. Persetujuan bisa dengan menggunakan form revisi/email. Form ada di Pak Yudi Mulyono. Form ini disimpan mahasiswa, tidak wajib untuk dikirim ke dosen penguji/pembimbing/sekdep1
3. Mengkompilasi buku versi terakhir
4. Memenuhi persyaratan yudisium
5. Mengisi data wisudawan"
Bagaimana follow-up setelah sidang TA?,"1. Mahasiswa mengerjakan revisi (jika ada)
2. Mahasiswa mengumpulkan persetujuan revisi dari penguji (menggunakan tanda tangan digital atau email)
3. Mahasiswa memenuhi persyaratan-persyaratan yudisium."
Berapa lama waktu revisi TA setelah sidang?,"Umumnya sekitar maksimum dua pekan setelah sidang TA. Lebih baik jika bisa selesai sebelum itu, sehingga dapat mempersiapkan berkas-berkas untuk yudisium dan wisuda."
Kemanakah saya mengumpulkan lembar revisi?,Revisi yang telah disetujui oleh penguji dipakai dasar untuk membuat buku TA versi final untuk persyaratan yudisium. Dosen pembimbing dikirim kopiannya melalui email.
Dimana panduan tentang POMITS?,Panduan tentang POMITS dapat ditemukan di http://ejurnal.its.ac.id/
Kapan nilai Pra-TA atau TA keluar?,"Nilai KP, nilai Pra-TA dan TA akan dientry ke integra secara batch operation dalam waktu yang kurang lebih sama. Waktu menyesuaikan dengan kalender akademik, tidak melebihi batas yudisium. Bertanya ke sekdep1 tentang nilainya HANYA jika diperlukan untuk keperluan mendesak saja."
