question,context
Apa saja mitra magang untuk Program Magang di ITS?,"Program Magang di ITS Berdasarkan Mitra Magang:
BUMN
Non BUMN
ITS
UKM/Kewirausahaan"
Apa saja jalur magang di ITS?,"Berdasarkan Jalur Magang:
PMMB
Non PMMB
Mandiri
Kerjasama"
Apa saja persyaratan mahasiswa untuk mengikuti PMMB?,"Persyaratan Mahasiswa:
Mahasiswa aktif
Minimal semester 6
Minimal IPK 2,75
Bersedia magang selama 6 bulan"
Apa saja kelengkapan berkas yang harus disiapkan oleh mahasiswa untuk PMMB?,"Kelengkapan Berkas:
CV
Transkrip Nilai
Surat Rekomendasi dari Departemen
Fakta Integritas"
Apa saja hak mahasiswa dalam Program Magang Mahasiswa Bersertifikat (PMMB)?,"Hak Magang PMMB:
Mendapatkan sertifikat industri dan/atau kompetensi
Tidak wajib cuti
Mendapatkan uang saku
Mengkonversikan kegiatan magang"
Bagaimana timeline pelaksanaan PMMB?,"Timeline PMMB:
10-16 Juli: Pendaftaran di ITS
16-19 Juli: ITS mengupload data kandidat mahasiswa magang
20 Juli: Workshop hasil match up
20-25 Juli: Seleksi ITS
26 Juli: Match up oleh FHCI
29-30 Juli: Penyusunan PKS
1 Agustus: Start pelaksanaan magang batch 2 2020"
Bagaimana konversi kegiatan magang dalam PMMB?,"Konversi Magang:
Kerja praktek
Satu atau beberapa MK yang memiliki CPL setara dengan kegiatan magang (disarankan lebih ke MK pilihan)
Gabungan kerja praktek dan satu atau beberapa MK yang memiliki CPL setara dengan kegiatan magang
MK pilihan magang (diupayakan masuk dalam kurikulum)"
Apa kriteria pekerjaan yang bisa dikerjakan oleh tenaga magang mahasiswa?,"Kriteria Pekerjaan yang Bisa Dikerjakan oleh Tenaga Magang Mahasiswa:
Bukan merupakan pekerjaan utama (core)
Bukan merupakan pekerjaan rutin
Merupakan pekerjaan pengembangan/proyek
Durasi magang maksimal 6 bulan"
Apa yang dimaksud dengan Pola Magang 1 di lingkungan ITS?,"Pola Magang 1:
Magang yang dianggap sebagai tenaga kontrak/magang.
Tidak ada nilai yang dikonversikan ke MK magang/MK lain.
Mendapatkan hak dan kewajiban sebagai tenaga kontrak.
Mendapatkan SKEM dan sertifikat magang.
Durasi magang sesuai kebutuhan unit."
Apa yang dimaksud dengan Pola Magang 2 di lingkungan ITS?,"Pola Magang 2:
Magang yang dikonversikan dengan mata kuliah yang selaras dengan CPL MK tersebut.
Akan mendapatkan sertifikat magang.
Durasi magang maksimal 6 bulan."
