question,context
Kapan dan di mana kelas Kalkulus 1 untuk Reguler diadakan?,"Kode MK: SM234101, Mata Kuliah: Kalkulus 1, Reg SKS: 3, Semester: ≥4, Nama Kelas: Semua Departemen, Hari/Pukul: Selasa, Kamis; 15.30-17.10, Ruang: TW1-301, Lokasi Ruang: Tower 1, Lt. 3"
Kapan dan di mana kelas Matematika 2 untuk Reguler diadakan?,"Kode MK: SM234152 Mata Kuliah: Matematika 2, Reg SKS: ≥4, Semester: 1, Nama Kelas: Semua Departemen, Hari/Pukul: Selasa, 15.30-17.10, Ruang: TW1-302, Lokasi Ruang: Tower 1, Lt. 3"
Kapan dan di mana kelas Fisika 1 untuk Reguler diadakan?,"Kode MK: SF234101, Mata Kuliah: Fisika 1, Reg SKS: 5, Semester: ≥4, Nama Kelas: Semua Departemen, Hari/Pukul: Senin, Rabu; 15.30-17.10, Ruang: TW1-201, Lokasi Ruang: Tower 1, Lt. 2"
Kapan dan di mana kelas Fisika Mekanika 4 untuk Reguler diadakan?,"Kode MK: SF234102, Mata Kuliah: Fisika Mekanika 4, Reg SKS: ≥4, Semester: 1, Nama Kelas: Semua Departemen, Hari/Pukul: Senin, Rabu; 15.30-17.10, Ruang: TW1-202, Lokasi Ruang: Tower 1, Lt. 2"
Kapan dan di mana kelas Fisika Mekanika 3 untuk Reguler diadakan?,"Kode MK: SF234103, Mata Kuliah: Fisika Mekanika 3, Reg SKS: ≥4, Semester: 1, Nama Kelas: Semua Departemen, Hari/Pukul: Senin, Rabu; 15.30-17.10, Ruang: TW1-203, Lokasi Ruang: Tower 1, Lt. 2"
Kapan dan di mana kelas Fisika Dasar untuk Reguler diadakan?,"Kode MK: SF234204, Mata Kuliah: Fisika Dasar, Reg SKS: 3, Semester: ≥4, Nama Kelas: Semua Departemen, Hari/Pukul: Senin, Rabu; 15.30-17.10, Ruang: TW1-205, Lokasi Ruang: Tower 1, Lt. 2"
Kapan dan di mana kelas Kimia 1 untuk Reguler diadakan?,"Kode MK: SK234101, Mata Kuliah: Kimia 1, Reg SKS: 4, Semester: ≥4, Nama Kelas: Semua Departemen, Hari/Pukul: Selasa, Kamis; 07.00-08.40, Ruang: TW1-503, Lokasi Ruang: Tower 1, Lt. 5"
Kapan dan di mana kelas Kalkulus 1 untuk IUP diadakan?,"Kode MK: SM234101, Mata Kuliah: Kalkulus 1, IUP SKS: 3, Semester: ≥4, Nama Kelas: Semua Departemen, Hari/Pukul: Senin, Rabu; 15.30-17.10, Ruang: TW1-606, Lokasi Ruang: Tower 1, Lt. 6"
Kapan dan di mana kelas Matematika 2 untuk IUP diadakan?,"Kode MK: SM234152, Mata Kuliah: Matematika 2, IUP SKS: ≥4, Semester: 2, Nama Kelas: Semua Departemen, Hari/Pukul: Senin, 15.30-17.10, Ruang: TW1-304, Lokasi Ruang: Tower 1, Lt. 3"
Kapan dan di mana kelas Fisika 1 untuk IUP diadakan?,"Kode MK: SF234101, Mata Kuliah: Fisika 1, IUP SKS: 5, Semester: ≥4, Nama Kelas: Semua Departemen, Hari/Pukul: Selasa, Kamis; 15.30-17.10, Ruang: TW1-506, Lokasi Ruang: Tower 1, Lt. 5"
Kapan dan di mana kelas Fisika Mekanika 4 untuk IUP diadakan?,"Kode MK: SF234102, Mata Kuliah: Fisika Mekanika 4, IUP SKS: ≥4, Semester: 2, Nama Kelas: Semua Departemen, Hari/Pukul: Selasa, Kamis; 15.30-17.10, Ruang: TW1-606, Lokasi Ruang: Tower 1, Lt. 6"
Kapan dan di mana kelas Fisika Mekanika 3 untuk IUP diadakan?,"Kode MK: SF234103, Mata Kuliah: Fisika Mekanika 3, IUP SKS: ≥4, Semester: 2, Nama Kelas: Semua Departemen, Hari/Pukul: Selasa, Kamis; 15.30-17.10, Ruang: TW1-706, Lokasi Ruang: Tower 1, Lt. 7"
Kapan dan di mana kelas Fisika Dasar untuk IUP diadakan?,"Kode MK: SF234204, Mata Kuliah: Fisika Dasar, IUP SKS: 3, Semester: ≥4, Nama Kelas: Semua Departemen, Hari/Pukul: Selasa, Kamis; 15.30-17.10, Ruang: TW1-806, Lokasi Ruang: Tower 1, Lt. 8"
Kapan dan di mana kelas Kimia 1 untuk IUP diadakan?,"Kode MK: SK234101, Mata Kuliah: Kimia 1, IUP SKS: 4, Semester: ≥4, Nama Kelas: Semua Departemen, Hari/Pukul: Selasa, Kamis; 13.30-15.10, Ruang: TW1-706, Lokasi Ruang: Tower 1, Lt. 7"
Kapan dan di mana kelas Pancasila untuk Reguler diadakan?,"Kode MK: UG234911, Mata Kuliah: Pancasila, Reg SKS: 2, Semester 2 dan ≥6, Nama Kelas: 15055 dan Semua Departemen, Hari/Pukul: Senin, 13.30-15.10, Ruang: TW1-605, Lokasi Ruang: Tower 1, Lt. 6"
Kapan dan di mana kelas Kewarganegaraan untuk Reguler diadakan?,"Kode MK: UG234913, Mata Kuliah: Kewarganegaraan, Reg SKS: 2, Semester: 2 dan ≥6, Nama Kelas: 15055 dan Semua Departemen, Hari/Pukul: Selasa, 13.30-15.10, Ruang: TW1-206, Lokasi Ruang: Tower 1, Lt. 2"
Kapan dan di mana kelas Agama Islam untuk Reguler diadakan?,"Kode MK: UG234901, Mata Kuliah: Agama Islam, Reg SKS: 2, Semester: ≥6, Nama Kelas: Semua Departemen, Hari/Pukul: Kamis, 07.00-08.40, Ruang: TW1-505, Lokasi Ruang: Tower 1, Lt. 5"
Kapan dan di mana kelas Bahasa Indonesia untuk Reguler diadakan?,"Kode MK: UG234912, Mata Kuliah: Bahasa Indonesia, Reg SKS: 2, Semester: ≥6, Nama Kelas: Semua Departemen, Hari/Pukul: Jumat, 09.00-10.40, Ruang: TW1-601, Lokasi Ruang: Tower 1, Lt. 6"
Kapan dan di mana kelas Bahasa Inggris untuk Reguler diadakan?,"Kode MK: UG234914, Mata Kuliah: Bahasa Inggris, Reg SKS: 2, Semester: ≥6, Nama Kelas: Semua Departemen, Hari/Pukul: Jumat, 13.30-15.10, Ruang: TW1-201, Lokasi Ruang: Tower 1, Lt. 2"
Kapan dan di mana kelas Pancasila untuk IUP diadakan?,"Kode MK: UG234911, Mata Kuliah: Pancasila, IUP SKS: 2, Semester: ≥6, Nama Kelas: Semua Departemen, Hari/Pukul: Senin, 07.00-08.40, Ruang: TW1-304, Lokasi Ruang: Tower 1, Lt. 3"
Kapan dan di mana kelas Kewarganegaraan untuk IUP diadakan?,"Kode MK: UG234913, Mata Kuliah: Kewarganegaraan, IUP SKS: 2, Semester: ≥6, Nama Kelas: Semua Departemen, Hari/Pukul: Selasa, 11.00-12.40, Ruang: TW1-304, Lokasi Ruang: Tower 1, Lt. 3"
Kapan dan di mana kelas Agama Islam untuk IUP diadakan?,"Kode MK: UG234901, Mata Kuliah: Agama Islam, IUP SKS: 2, Semester: ≥6, Nama Kelas: Semua Departemen, Hari/Pukul: Kamis, 09.00-10.40, Ruang: TW1-304, Lokasi Ruang: Tower 1, Lt. 3"
Kapan dan di mana kelas Bahasa Indonesia untuk IUP diadakan?,"Kode MK: UG234912, Mata Kuliah: Bahasa Indonesia, IUP SKS: 2, Semester: ≥6, Nama Kelas: Semua Departemen, Hari/Pukul: Kamis, 13.30-15.10, Ruang: TW1-304, Lokasi Ruang: Tower 1, Lt. 3"
Kapan dan di mana kelas Bahasa Inggris untuk IUP diadakan?,"Kode MK: UG234914, Mata Kuliah: Bahasa Inggris, IUP SKS: 2, Semester: ≥6, Nama Kelas: Semua Departemen, Hari/Pukul: Kamis, 11.00-12.40, Ruang: TW1-304, Lokasi Ruang: Tower 1, Lt. 3"
