Question,Expected Answer
Apa visi ITS?,Menjadi perguruan tinggi dengan reputasi internasional dalam ilmu pengetahuan dan teknologi terutama yang menunjang industri dan kelautan yang berwawasan lingkungan.
Apa itu Body of Knowledge?,"Istilah yang digunakan untuk mewakili secara lengkap konsep, istilah, dan aktivitas yang membentuk kemampuan profesional, yang didefinisikan oleh masyarakat terpelajar atau asosiasi profesional yang relevan."
Apa itu CPL?,Capaian Pembelajaran Lulusan
Berapa jam kerja magang yang setara dengan 1 SKS?,1 SKS = 2.720 menit magang atau 45 jam
Apa durasi maksimal magang menurut peraturan rektor?,Maksimal 6 bulan
Apa itu MB-KM di ITS?,Merdeka Belajar - Kampus Merdeka di Institut Teknologi Sepuluh Nopember
Apa saja bentuk kegiatan pembelajaran yang termasuk dalam MB-KM?,"Magang/Praktik Kerja, Membangun Desa/Kuliah Kerja Nyata Tematik, Pertukaran Pelajar, Proyek Kemanusiaan, Penelitian/Riset, Kegiatan Wirausaha, Studi/Proyek Independen, dan Asistensi Mengajar di Satuan Pendidikan."
Kapan pelaksanaan kegiatan pengabdian kepada masyarakat dapat dilakukan dalam program sarjana di ITS?,Pada semester 6 dan 7.
Apa fungsi dari Tim MB-KM ITS?,"Memfasilitasi implementasi kegiatan MB-KM di ITS, termasuk membuat prosedur operasional baku, dokumen teknis, penjaminan mutu, sistem aplikasi dan hal lainnya."
Apa tujuan penjaminan mutu MBKM?,Untuk meningkatkan kompetensi lulusan dengan soft skills dan hard skills.
Apa tujuan dari MBKM?,"Untuk menghasilkan lulusan yang berkualitas dan memenuhi visi, misi, tata nilai, dan tujuan ITS serta memenuhi SN-DIKTI."
Apa tujuan dari kegiatan magang/ praktik kerja?,"Memperlancar karir lulusan, pengayaan kompetensi mahasiswa, kolaborasi riset, dan kerja sama pengembangan industri."
Apa yang dimaksud dengan PDDikti?,Pangkalan Data Perguruan Tinggi yang terintegrasi secara nasional.
Berapa jumlah kredit Mata Kuliah KP?,2 SKS
Kapan SKS KP bisa diambil?,"Bersamaan atau setelah menyelesaikan KP di organisasi (perusahaan, instansi, yayasan)"
Apakah KP bisa dilakukan secara berkelompok?,"Ya, maksimal 2 (dua) mahasiswa"
Apa syarat mengajukan KP?,"Mahasiswa aktif Teknik Informatika, SKS tempuh minimum 90 SKS"
Apa yang harus dilakukan mahasiswa di lokasi KP?,"Mematuhi dan mengikuti segala aturan terkait kerja praktik, dan mengerjakan pekerjaan yang sesuai dengan kompetensi Informatika"
Kapan batas waktu penyerahan laporan KP?,Paling lambat 1 bulan setelah tanggal selesainya kerja praktek di perusahaan
Bagaimana format nama file untuk laporan KP dengan pengarang tunggal?,NRP-Project_Report
