Question,Expected Answer
Apa itu program IUP?,"International Undergraduate Program yang selanjutnya disingkat IUP adalah program pendidikan sarjana yang dilaksanakan dalam bahasa Inggris dan mahasiswa wajib mengikuti kegiatan internasional sekurang-kurangnya satu kali selama masa studi dalam bentuk Joint degree/Double Degree, student exchange, final project, internship, atau short program dengan perguruan tinggi mitra ITS di luar negeri."
Apa saja dana pendidikan di ITS?,"UKT, SPP, SPI dan SPA."
Apa tujuan dibuat SKEM?,"1. Menanamkan sikap ilmiah, merangsang daya kreasi dan inovasi, meningkatkan kemampuan meneliti, menulis karya ilmiah, meningkatkan kemampuan berkomunikasi, serta pemahaman profesi. 2. Meningkatkan kesehatan / kebugaran, prestasi dan apresiasi budaya melalui penyaluran minat dan bakat dalam bidang seni dan olah raga. 3. Meningkatkan kemampuan mahasiswa dalam kerjasama (team work), komunikasi, ketrampilan manajemen, berorganisasi dan kepemimpinan. 4. Meningkatkan pengabdian kepada masyarakat, rasa kepedulian terhadap sesama, serta menanamkan rasa cinta tanah air."
Apa itu Beasiswa Prioritas?,"Beasiswa Prioritas merupakan program beasiswa yang memberikan kesempatan kepada pendaftar untuk dapat melakukan pendaftaran pada dua program sekaligus, yaitu pada program Beasiswa Kemitraan/Kerja Sama LPDP dan pada salah satu program Beasiswa Afirmasi/Beasiswa Targeted/Beasiswa Umum tujuan luar negeri."
Apa saja Jenis Program Magang Kampus Merdeka di ITS,"MBKM: Program dari Kementerian Pendidkan, Kebudayaan, Riset dan Teknologi dalam bentuk pembelajaran di luar Kampus selama 2 semester, dan bisa/wajib dikonversikan ke SKS
Mata Kuliah. Non-MBKM: Program Magang dikonversikan ke SKEM atau hanya untuk menambah pengalaman mahasiswa."
Apa syarat Foto formal calon wisudawan ITS?,"Mempunyai kualitas STUDIO FOTO dengan ekstensi file: .jpg atau .jpeg Berlatar belakang biru dengan komposisi warna (C: 100 M: 040 Y: 001 K: 001) atau (R: 000 G: 120 B: 193) Mempunyai ukuran proporsional separuh badan Menghadap lurus kedepan Tidak menggunakan kacamata Menampakkan bagian wajah dengan jelas Memakai jas warna gelap, kemeja putih, dan berdasi hitam (Pria/Wanita) Khusus bagi wanita yang berhijab warna hijab menyesuaikan dan tidak berdasi"
Apakah mata kuliah pengayaan bisa di-drop?,"Seperti halnya MK yang lain, jika masih dalam masa drop tiap semester, maka boleh (sampai dengan minggu 10). Setelah waktu itu tidak bisa, namun bisa digantikan dengan MK pengayaan lain yang diambil di semester berikutnya."
"MyITS saya bermasalah, bisa lapor kemana?",Silakan ajukan tiket ke DPTSI di https://servicedesk.its.ac.id/
Berapa koordinat latitude langitude ITS Surabaya?,Tidak tahu
Bagaimana SKEM membantu Departemen di ITS?,SKEM membantu Departemen untuk mendapatkan data pemetaan profil mahasiswa guna pengembangan soft skills dan untuk keperluan akreditasi internasional.
