question,context
Siapa yang wajib mengunggah artikel untuk Yudisium 129?,Pemberitahuan Unggah Artikel POmITS: Unggah artikel wajib dilakukan oleh mahasiswa pendaftar yudisium 129.
Apa yang harus dilakukan oleh mahasiswa yang artikelnya akan dipublikasikan pada Jurnal POmITS?,"Mahasiswa yang Dosen Pembimbingnya memilih untuk mempublikasikan artikelnya pada Jurnal POmITS, dapat melakukan unggah, dengan mengikuti langkah pada buku panduan tata cara unggah."
Apa saja file yang harus diunggah pada Jurnal POmITS?,"File yang harus diunggah adalah: 1. Artikel hasil dari Tugas Akhir, dalam format Ms. Word yang telah mengikuti template. 2. Formulir Hak Cipta, dalam format PDF. 3. Form Telaah Artikel POmITS, dalam format PDF. 4. Form Revisi/Perbaikan/Penyempurnaan TA yang berisi nama penguji beserta tanda tangan."
Dari mana mahasiswa bisa mengunduh template dan formulir yang diperlukan untuk unggah artikel POmITS?,"Template, Formulir Hak Cipta, Buku Panduan Tata Cara Unggah, dan Form Telaah Artikel dapat diunduh pada link: https://ejurnal.its.ac.id/index.php/teknik (Jurnal Teknik ITS) dan https://ejurnal.its.ac.id/index.php/sains_seni (Jurnal Sains&Seni ITS)."
Apa saja section yang bisa dipilih pada Jurnal Teknik ITS?,Section yang bisa dipilih pada Jurnal Teknik ITS adalah: 1. Teknologi Informasi dan Komunikasi (TIK) 2. Energi (ERG) 3. Pemukiman dan Bencana (PdB) 4. Bangunan Berorientasi Lingkungan (BBL) 5. Transportasi (TRP) 6. Teknologi Proses (TP) 7. Kelautan (KLT).
Apa saja section yang bisa dipilih pada Jurnal Sains & Seni ITS?,Section yang bisa dipilih pada Jurnal Sains & Seni ITS adalah: 1. Matematika dan Terapannya (MAT) 2. Fisika dan Terapannya (FIS) 3. Kimia dan Terapannya (KIM) 4. Statistika dan Terapannya (STA) 5. Biologi dan Terapannya (BIO) 6. Produk Desain (PD) 7. Arsitektur (ARS) 8. Desain dan Seni (DDS) 9. Bisnis Dan Studi Pembangunan (BSP).
Apa langkah unggah artikel bagi mahasiswa yang artikelnya tidak dipublikasikan pada Jurnal POmITS?,"Mahasiswa yang Dosen Pembimbingnya memilih untuk tidak mempublikasikan artikelnya pada Jurnal POmITS (Jurnal Teknik dan Jurnal Sains & Seni), dapat melakukan unggah di Jurnal Repository, menggunakan login 'mahasiswa', dengan kata sandi 'M4h4sisw4lTs!' ke alamat 'https://ejurnal.its.ac.id/index.php/index/login' dengan mengunggah file artikel dan file Form Telaah (dalam format PDF) saja."
Kapan periode unggah artikel untuk Yudisium 129 berakhir?,Periode unggah artikel untuk yudisium 129 adalah sampai dengan 15 Februari 2024 pukul 24.00 WIB.
Apa yang harus dilakukan jika terjadi penghapusan atau penarikan artikel?,"Jika terdapat penghapusan/penarikan artikel, dapat mengisi form pada link: https://its.id/FHAJTeknikITSPOMITS, untuk Jurnal Teknik ITS; https://its.id/FHAJSainsSenilTSPOMITS, untuk Jurnal Sains & Seni ITS; https://its.id/FHAJRepositoryITSPOMITS, untuk Jurnal Repository. Penghapusan Artikel akan dilakukan setelah yudisium berakhir."
Apa yang terjadi pada artikel yang tidak memenuhi ketentuan publikasi?,Artikel - artikel yang tidak memenuhi ketentuan publikasi (gaya selingkung tidak sesuai format dan file pendukung tidak lengkap) tidak akan dipublikasikan di Jurnal Teknik ITS dan Jurnal Sains & Seni ITS.
