question,context
Apa persiapan yang diperlukan saat Anda akan ikut dalam program studi luar negeri?,"The preparation can includes documentation, financial, belongings, knowledge, and psychology"
Apa saja jenis program internasional yang ditawarkan untuk mahasiswa ITS?,"Exchange, Internship, Short Program, Double Degree"
Jelaskan tentang program Exchange?,"The opportunities to study abroad with ITS partner university, with the duration depending on each university (1-2 semesters) and have to make credit transfer"
Jelaskan tentang program Internship?,"The opportunities to intern abroad with ITS partner university and non partner, with the duration depending on each university (1-3 Months) and recommended for final year students"
Jelaskan tentang program Short Program?,"The opportunities to study abroad with ITS partner university and non partner, with the duration of 2 weeks – 1 month, fully-funded or self-funded programs"
Jelaskan tentang program Double Degree?,"The opportunities to study abroad with ITS partner university and graduate with two independent degrees, with the duration depending on each university (2:2, 2.5:1.5, 3:1) and have to make credit transfer"
Sebutkan beberapa universitas yang bekerjasama dengan ITS untuk program Short Program?,"National Cheng Kung University Summer School, International Summer/Winter University at Hochschule Darmstadt University of Applied Science, Germany, Feng Chia International Summer School"
Sebutkan beberapa universitas yang bekerjasama dengan ITS untuk program Internship?,"Universiti Kuala Lumpur (UniKL) – MFI (Malaysia France Institute) Campus, Shibaura Institute of Technology, Japan, Universiti Teknologi Malaysia, Malaysia, Tarlac Agricultural University (TAU), Philippines"
Sebutkan beberapa universitas yang bekerjasama dengan ITS untuk program Student Exchange?,"Kumamoto University, Japan, Chung Ang University, South Korea, Chulalongkorn University, Thailand, King Mongkut's University of Technology Thonburi, Thailand"
Apa yang dimaksud dengan program Student Exchange (Erasmus+)?,"Anadolu University, Turkey, Aristotle University of Thessaloniki, Greek, Cardiff University of Metropolitan, UK, Sapienza University of Rome, Italy, Warsaw University of Technology, Poland, Bialystok University of Technology, Poland, University of Szczecin, Poland"
Apa yang dimaksud dengan program Student Exchange (IISMA)?,"IISMA is a scholarship scheme by the Government of Indonesia to fund Indonesian students in mobility programs at top universities abroad. Students can spend up to one semester at a partner university abroad to study, learn about the culture of the destination country, and do practical assignments to home skills"
Apa saja yang ditanggung oleh program Student Exchange (IISMA)?,"Tuition fee, Monthly living expenses (including accommodation), Health insurance during the program (excluding travel insurance), Visa, Self Quarantine in destination country (if needed), PCR Test, Flight ticket"
Apa saja kegiatan dalam program International Exposure?,"Collaborating with DKG, Search place of execution, Document handling, Student exchange/Internship partners: Asia University, Taiwan, Shibaura University, Japan, Kumamoto Univ, Hiroshima Uni, Japan"
Sebutkan beberapa universitas yang merupakan joint degree partners?,"University of Queensland (2.5+1.5), Fontys University (3+1), Newcastle University (2+2), Asia University (2+2), Tomsk State University (2+2)"
Apa benefit keuangan untuk mahasiswa dalam program Exchange di Eropa?,"Cost of living € 7,800 per year, Tuition fee € 10,140 per year"
Apa benefit keuangan untuk mahasiswa dalam program Exchange di Australia?,"Cost of living AUD 18,000 per year, Tuition fee AUD 25,040 per year"
Berapa persen biaya yang harus dibayar oleh mahasiswa yang melakukan kegiatan international exposure di kampus mitra?,Students who carry out international exposure activities at partner campuses are only obliged to pay 10% of the financing at ITS
Apa yang harus dilakukan untuk menemukan program internasional di ITS GE?,"Check ITS GE Web / Social Media: Website: www.its.ac.id/international, Instagram: @itsinternationaloffice, Line: @its_io, Facebook: facebook.com/ioits"
Apa dokumen umum yang penting untuk program internasional?,"Passport, Certificate of english proficiency, Official academic transcript in english, Certificate of enrollment, Learning agreement, Statement letter, Recommendation letter in english, Funding request assistance (optional), GCW* non-degree test / GCW (non-degree/basic/adv (for IUP) ) certificate"
Bagaimana cara mendaftar untuk program internasional di ITS GE?,"Submit all the required documents to ITS GE email written on the web (studyabroad@its.ac.id) with the format written on the program web. After that, ITS GE will reply back to your email regarding further steps to join the program"
