Question,Expected Answer
Apa itu Beasiswa Prioritas LPDP – Campus France Program Master? ,"Beasiswa Prioritas LPDP – Campus France Program Master adalah beasiswa yang memberikan kesempatan bagi pendaftar untuk mendaftar pada Beasiswa Kemitraan LPDP – Campus France dan salah satu program beasiswa Magister Luar Negeri seperti Beasiswa Afirmasi, Beasiswa Targeted, atau Beasiswa Umum."
Siapa saja sasaran Beasiswa Prioritas LPDP – Campus France Program Master?,Sasaran beasiswa ini adalah warga negara Indonesia (WNI) dan PNS/TNI/POLRI.
Apa saja komponen dana yang diberikan melalui beasiswa ini?,"Komponen dana yang diberikan mencakup dana pendidikan (tuition fee, tunjangan buku, dana penelitian tesis, dana seminar internasional, dll.) dan dana pendukung (dana transportasi, aplikasi visa, asuransi kesehatan, dana hidup bulanan, dll.)."
Apa persyaratan umum untuk mendaftar Beasiswa Prioritas LPDP – Campus France Program Master?,"Persyaratan umum termasuk WNI, telah menyelesaikan studi program diploma empat (D4) atau sarjana (S1), dan belum pernah menyelesaikan studi magister (S2)."
Apa persyaratan khusus untuk Beasiswa Kemitraan LPDP – Campus France Program Master?,"Persyaratan khusus termasuk mendaftar pada program master sesuai daftar program studi dan universitas terlampir, memenuhi ketentuan batas usia, serta menyerahkan berbagai dokumen yang dipersyaratkan seperti IPK dan sertifikat bahasa Inggris."
Bagaimana cara mendaftar Beasiswa LPDP?,"Mendaftar secara online di situs pendaftaran Beasiswa LPDP, memilih menu Beasiswa Prioritas, melengkapi dan mengunggah dokumen yang dipersyaratkan, dan melakukan submit aplikasi untuk mendapatkan kode registrasi/pendaftaran."
 Apa itu LoA dan bagaimana ketentuannya dalam pendaftaran Beasiswa LPDP?,"Letter of Admission (LoA) adalah surat resmi dari perguruan tinggi yang menyatakan seseorang telah diterima sebagai mahasiswa. LoA harus mencantumkan nama lengkap, jenjang studi, program studi, dan memuat informasi waktu memulai studi sesuai ketentuan LPDP."
Apa sanksi yang diberlakukan oleh LPDP jika terjadi pelanggaran ketentuan?,"Sanksi termasuk digugurkan dalam seleksi, pemberhentian sebagai penerima beasiswa dengan kewajiban mengembalikan dana studi yang telah diterima, dan pemblokiran untuk mengikuti program LPDP di masa mendatang."
Apa komitmen yang harus dibuat oleh penerima Beasiswa LPDP?,Penerima beasiswa wajib kembali dan mengabdi di Indonesia selama 2 kali masa studi ditambah 1 tahun setelah selesai studi secara berturut-turut.
Apa saja dokumen yang harus diunggah untuk mendaftar Beasiswa Prioritas LPDP – Campus France Program Master?,"Dokumen yang harus diunggah termasuk kartu tanda penduduk (KTP), ijazah S1, transkrip nilai S1, sertifikat bahasa asing, surat rekomendasi, surat usulan dari pejabat SDM bagi PNS/TNI/POLRI, dan lain-lain."
"Dokumen yang harus diunggah termasuk kartu tanda penduduk (KTP), ijazah S1, transkrip nilai S1, sertifikat bahasa asing, surat rekomendasi, surat usulan dari pejabat SDM bagi PNS/TNI/POLRI, dan lain-lain.","Pendaftar harus memiliki skor minimal TOEFL iBT® 80 atau IELTS™ 6.5, yang diterbitkan paling lambat 2 tahun terakhir."
Berapa batas usia pendaftar Beasiswa Prioritas LPDP – Campus France Program Master untuk pendaftar non-PNS? ,Batas usia bagi pendaftar non-PNS adalah paling tinggi 35 tahun pada tanggal 31 Desember di tahun pendaftaran.
Bagaimana alur seleksi Beasiswa Prioritas LPDP – Campus France Program Master?,"Alur seleksi meliputi Seleksi Administrasi, Seleksi Bakat Skolastik, Seleksi Substansi, dengan berbagai tahapan jadwal mulai dari pendaftaran hingga pengumuman hasil seleksi substansi."
Apakah pendaftar yang sedang menempuh studi program magister boleh mendaftar Beasiswa LPDP?,"Ya, dengan ketentuan harus membuat surat pengunduran diri dan menyerahkan surat pemberhentian resmi dari program studi atau perguruan tinggi sebelum penandatanganan surat pernyataan penerima beasiswa."
Apa syarat rekomendasi untuk pendaftar PNS di semua program beasiswa LPDP?,Pendaftar PNS harus melampirkan surat usulan atau surat rekomendasi dari pejabat setingkat eselon II yang memuat rekomendasi pengajuan beasiswa dan mencantumkan Nama Lengkap serta Nomor Induk Pegawai (NIP).
Apakah kelas yang diselenggarakan di lebih dari satu negara perguruan tinggi memenuhi syarat Beasiswa LPDP?,"Tidak, kelas yang diselenggarakan di lebih dari satu negara perguruan tinggi tidak memenuhi ketentuan Beasiswa LPDP."
Apa skema pelanggaran dan sanksi yang ditetapkan oleh LPDP? ,"Pelanggaran termasuk melakukan kecurangan selama seleksi, memberikan informasi atau dokumen palsu, akan diberikan sanksi berupa digugurkan dari seleksi dan kewajiban mengembalikan dana studi jika sudah menjadi penerima beasiswa."
Bagaimana jika pendaftar memiliki publikasi ilmiah atau prestasi kejuaraan?,"Pendaftar diminta untuk mengisi riwayat publikasi ilmiah, prestasi kejuaraan/non kejuaraan, dan pengalaman organisasi pada aplikasi pendaftaran."
Apa persyaratan mengenai Indeks Prestasi Kumulatif (IPK) untuk mendaftar?,"Pendaftar harus memiliki IPK sekurang-kurangnya 3,0 pada skala 4,00 atau yang setara dari jenjang studi sebelumnya."
Bagaimana ketentuan mengenai sertifikat bahasa asing?,"Sertifikat bahasa asing yang dipersyaratkan harus diterbitkan paling lambat 2 tahun terakhir dari tahun pendaftaran beasiswa oleh ETS atau IELTS, dengan skor minimal yang telah ditentukan."
