question,context
Apa yang perlu dipersiapkan ketika Anda akan berpartisipasi dalam program studi di luar negeri?,"Persiapan meliputi dokumentasi, keuangan, barang bawaan, pengetahuan, dan psikologi."
Apa itu Exchange dalam program studi di luar negeri?,Kesempatan untuk belajar di luar negeri dengan universitas mitra ITS. Durasi: 1-2 semester. Syarat: Transfer kredit.
Apa itu Internship dalam program studi di luar negeri?,Kesempatan untuk magang di luar negeri dengan universitas mitra dan non-mitra ITS. Durasi: 1-3 bulan. Direkomendasikan untuk mahasiswa tahun terakhir.
Apa itu Short Program dalam program studi di luar negeri?,Kesempatan untuk belajar di luar negeri dengan universitas mitra dan non-mitra ITS. Durasi: 2 minggu - 1 bulan. Jenis: Program dengan pendanaan penuh atau pendanaan mandiri.
Apa itu Double Degree dalam program studi di luar negeri?,"Kesempatan untuk belajar di luar negeri dengan universitas mitra ITS dan lulus dengan dua gelar independen. Durasi: 2:2, 2.5:1.5, 3:1. Syarat: Transfer kredit."
Apa contoh Short Program yang diselenggarakan oleh universitas mitra?,"Contoh: National Cheng Kung University Summer School, International Summer/Winter University at Hochschule Darmstadt University of Applied Science, Germany, Feng Chia International Summer School, GKS ASEAN SCIENCES, Delightful Istanbul Summer or Winter School, Global Project Based Learning (GPBL) Shibaura Institute of Technology (SIT) Japan and KMUTT."
Apa contoh Internship yang diselenggarakan oleh universitas mitra?,"Contoh: Universiti Kuala Lumpur (UniKL) – MFI (Malaysia France Institute) Campus, Shibaura Institute of Technology, Japan, Universiti Teknologi Malaysia, Malaysia, Tarlac Agricultural University (TAU), Philippines, King Mongkut's University of Technology Thonburi (KMUTT), Thailand, National Chung Hsing University (NCHU), Taiwan, Pompeu Fabra University, Spain."
Apa contoh Student Exchange yang diselenggarakan oleh universitas mitra?,"Contoh: Kumamoto University, Japan, Chung Ang University, South Korea, Chulalongkorn University, Thailand, King Mongkut's University of Technology Thonburi, Thailand."
Apa itu Erasmus+ Student Exchange Program?,"Contoh: Anadolu University, Turkey, Aristotle University of Thessaloniki, Greece, Cardiff University of Metropolitan, UK, Sapienza University of Rome, Italy, Warsaw University of Technology, Poland, Bialystok University of Technology, Poland, University of Szczecin, Poland. Cakupan: Biaya transportasi: 1100 Euro, Tunjangan hidup: 700-800 Euro/Bulan (berdasarkan kontrak)."
Apa itu IISMA?,"IISMA (Indonesian International Student Mobility Awards) adalah skema beasiswa yang didanai oleh Pemerintah Indonesia untuk program mobilitas di universitas top di luar negeri. Cakupan: Biaya kuliah, Biaya hidup bulanan (termasuk akomodasi) sesuai PO LPDP, Asuransi kesehatan selama program (tidak termasuk asuransi perjalanan), Visa, Karantina mandiri di negara tujuan (jika diperlukan), Tes PCR, Tiket pesawat."
Apa contoh universitas mitra Joint Degree?,"Contoh: University of Queensland (2.5+1.5), Fontys University (3+1), Newcastle University (2+2), Asia University (2+2), Tomsk State University (2+2)."
Apa kisaran biaya hidup dan biaya kuliah di Eropa?,"Biaya hidup: €7,800 per tahun, Biaya kuliah: €10,140 per tahun."
Apa kisaran biaya hidup dan biaya kuliah di Australia?,"Biaya hidup: AUD 18,000 per tahun, Biaya kuliah: AUD 25,040 per tahun."
Apa kebijakan pembayaran biaya kuliah untuk program Exchange Course?,Full Study at Partner University: Membayar 10% dari biaya ITS. Full Study at Partner University & Partial Study at ITS: Membayar 20% dari biaya ITS untuk hingga 6 kredit online. Full Study at ITS & Partial Online Study at Partner University: Membayar 100% dari biaya ITS.
Apa saja dokumen penting yang harus dipersiapkan untuk pendaftaran umum?,"Dokumen penting: Paspor, Sertifikat kemampuan bahasa Inggris, Transkrip akademik resmi dalam bahasa Inggris, Sertifikat pendaftaran, Learning Agreement, Surat pernyataan, Surat rekomendasi dalam bahasa Inggris, Bantuan permintaan pendanaan (opsional), Sertifikat tes GCW (non-degree)."
Bagaimana cara menemukan program internasional untuk bergabung?,"Sumber: Periksa situs web ITS GE atau media sosial (Instagram, Line, Facebook)."
Bagaimana cara mempersiapkan dokumen yang diperlukan?,Learning Agreement & Statement Letter: Unduh dan isi dari situs web. Pemilihan kursus dan transfer kredit: Periksa silabus universitas dan silabus Informatika di ITS. Ditetapkan oleh Ketua/Sekretaris Departemen.
Bagaimana prosedur pengumpulan dokumen?,Kirim semua dokumen ke email ITS GE (studyabroad@its.ac.id) sesuai format di situs program. ITS GE akan memberikan instruksi lebih lanjut.
