,question,ground_truth,contexts,answer
0,Kapan jadwal kuliah Kalkulus 1 untuk Semester Regular?,"Jadwal kuliah Kalkulus 1 untuk Semester Regular adalah Selasa dan Kamis, pukul 15.30-17.10.","['11. Peraturan Rektor Institut Tek:nologi Sepuluh Nopember Nomor 16 Tahun 2021 tentang Biaya Pendidikan;\n12. Peraturan Rektor Institut Tek:nologi Sepuluh Nopember Nomor 22 Tahun 2021 tentang Penyelenggaraan Kegiatan Merdeka Belajar Kampus Merdeka di Institut Teknologi Sepuluh Nopember;\n13. Peraturan Rektor Institut Tek:nologi Sepuluh Nopember Nomor 9 Tahun 2022 tentang Satuan Kegiatan Estra Kurikuler Mahasiswa Institut Teknologi Sepuluh Nopember;', 'Pasal 9\nKetentuan lebih lanjut mengenai syarat, prosedur dan bentuk apresiasi diatur lebih lanjut dalam petunjuk teknis Wakil Rektor yang membidangi kemahasiswaan.\n\nBAB VI\nKETENTUAN PENUTUP\n\nPasal 10\nPada saat Peraturan Rektor ini mulai berlaku, Peraturan Rektor Institut Teknologi Sepuluh Nopember Nomor 27 Tahun 2022 tentang Pemberian Apresiasi Bagi Mahasiswa Beprestasi dan Dosen Pembimbing di Bidang Kompetisi Kemahasiswaan lnstitut Teknologi Sepuluh Nopember, dicabut dan dinyatakan tidak berlaku.\n\nPasal 11\nPeraturan Rektor ini mulai berlaku pada tanggal ditetapkan.\n\nDitetapkan di Surabaya\npada tanggal 3 Januari 2023\nREKTOR INSTITUT TEKNOLOGI SEPULUH NOPEMBER,\n\n\n\n\nMOCHAMAD ASHARI\nNIP 196510121990031003', 'Menetapkan\n\nMEMUTUSKAN:\nPERATURAN REKTOR INSTITUT TEKNOLOGI SEPULUH NOPEMBER TENTANG PEMBERIAN APRESIASI BAGI MAHASISWA BEPRESTASI DAN DOSEN PEMBIMBING DI BIDANG KEMAHASISW AAN INSTITUT TEKNOLOGI SEPULUH NOPEMBER.\n\nBAB!\nKETENTUAN UMUM', 'c. bahwa, berdasarkan pertimbangan sebagaimana dimaksud dalam huruf a dan huruf b, tersebut di atas, perlu ditetapkan peraturan Rektor Institut Teknologi Sepuluh Nopember tentang Pemberian Apresiasi Bagi Mahasiswa Berprestasi dan Dosen Pembimbing di Bidang Kompetisi Kemahasiswaan Institut Teknologi Sepuluh Nopember,']",Saya tidak mengetahui jadwal kuliah Kalkulus 1 untuk Semester Regular.
1,Di mana lokasi ruang kelas untuk kuliah Matematika 2 untuk Semester Regular?,"Lokasi ruang kelas Matematika 2 untuk Semester Regular adalah di Tower 1, Lt. 3, ruang TW1-302.","['11. Peraturan Rektor Institut Tek:nologi Sepuluh Nopember Nomor 16 Tahun 2021 tentang Biaya Pendidikan;\n12. Peraturan Rektor Institut Tek:nologi Sepuluh Nopember Nomor 22 Tahun 2021 tentang Penyelenggaraan Kegiatan Merdeka Belajar Kampus Merdeka di Institut Teknologi Sepuluh Nopember;\n13. Peraturan Rektor Institut Tek:nologi Sepuluh Nopember Nomor 9 Tahun 2022 tentang Satuan Kegiatan Estra Kurikuler Mahasiswa Institut Teknologi Sepuluh Nopember;', 'Menetapkan\n\nMEMUTUSKAN:\nPERATURAN REKTOR INSTITUT TEKNOLOGI SEPULUH NOPEMBER TENTANG PEMBERIAN APRESIASI BAGI MAHASISWA BEPRESTASI DAN DOSEN PEMBIMBING DI BIDANG KEMAHASISW AAN INSTITUT TEKNOLOGI SEPULUH NOPEMBER.\n\nBAB!\nKETENTUAN UMUM', 'KEMENTERIAN PENDIDIKAN, KEBUDAYAAN, RISET, DAN TEKNOLOGI\nINSTITUT TEKNOLOGI SEPULUH NOPEMBER\n       Kampus ITS Sukolilo - Surabaya 60111 Telepon : 031-5994251-54, 5947274, 5945472 (Hunting)\nFax: 031-5947264, 5950806\nhttp://www.its.ac.id\n\n\nPERATURAN REKTOR INSTITUT TEKNOWGI SEPULUH NOPEMBER NOMOR 7 TAHUN 2023\n\nTENTANG\n\nPEMBERIAN APRESIASI BAGI MAHASISWA BEPRESTASI\nDAN DOSEN PEMBIMBING DI BIDANG KOMPETISI KEMAHASISWAAN INSTITUT TEKNOWGI SEPULUH NOPEMBER', 'c. bahwa, berdasarkan pertimbangan sebagaimana dimaksud dalam huruf a dan huruf b, tersebut di atas, perlu ditetapkan peraturan Rektor Institut Teknologi Sepuluh Nopember tentang Pemberian Apresiasi Bagi Mahasiswa Berprestasi dan Dosen Pembimbing di Bidang Kompetisi Kemahasiswaan Institut Teknologi Sepuluh Nopember,']",Saya tidak tahu.
2,Berapa jumlah SKS untuk mata kuliah Fisika 1 di Semester Regular?,Mata kuliah Fisika 1 memiliki 5 SKS.,"['11. Peraturan Rektor Institut Tek:nologi Sepuluh Nopember Nomor 16 Tahun 2021 tentang Biaya Pendidikan;\n12. Peraturan Rektor Institut Tek:nologi Sepuluh Nopember Nomor 22 Tahun 2021 tentang Penyelenggaraan Kegiatan Merdeka Belajar Kampus Merdeka di Institut Teknologi Sepuluh Nopember;\n13. Peraturan Rektor Institut Tek:nologi Sepuluh Nopember Nomor 9 Tahun 2022 tentang Satuan Kegiatan Estra Kurikuler Mahasiswa Institut Teknologi Sepuluh Nopember;', 'BAB V BENTUK APRESIASI\n\nPasal 8\n(1) Apresiasi Lomba Kementerian dan        Lomba Mandiri bagi dosen Pembimbing kompetisi yang diikuti oleh Mahasiswa yang meraih medali/juara berupa:\na. piagam/ sertifikat atau t.anda jasa;\nb. angka kredit kepegawaian (Kum B) untuk Beban Kerja Dosen (BKD) yang terintegrasi dengan sistem informasi kepegawaian ITS; dan/atau\nc. reward sesuai dengan SBI.\n(2) Apresiasi Lomba Kementerian dan Lomba Mandiri bagi Mahasiswa berupa:\na. reward sesuai dengan SBI;\nb. konversi nilai akademik (SKS) untuk setiap lomba yang diputuskan oleh tim\nreviewer Departemen;\nc. konversi nilai Satuan Kredit Ekstrakurikuler Mahasiswa (SKEM) untuk setiap lomba yang diputuskan oleh tim review direktorat yang mengurusi kemahasiswaan;dan/atau\nd. beasiswa Magister di seluruh program studi yang ada di ITS selama waktu\nyang ditentukan.\n(3) Setiap perolehan medali/juara di setiap kompetisi sebagaimana disebutkan dalam Pasal 6 ayat (2) juga mendapatkan apresiasi berupa nominal uang.', 'Menetapkan\n\nMEMUTUSKAN:\nPERATURAN REKTOR INSTITUT TEKNOLOGI SEPULUH NOPEMBER TENTANG PEMBERIAN APRESIASI BAGI MAHASISWA BEPRESTASI DAN DOSEN PEMBIMBING DI BIDANG KEMAHASISW AAN INSTITUT TEKNOLOGI SEPULUH NOPEMBER.\n\nBAB!\nKETENTUAN UMUM', 'c. bahwa, berdasarkan pertimbangan sebagaimana dimaksud dalam huruf a dan huruf b, tersebut di atas, perlu ditetapkan peraturan Rektor Institut Teknologi Sepuluh Nopember tentang Pemberian Apresiasi Bagi Mahasiswa Berprestasi dan Dosen Pembimbing di Bidang Kompetisi Kemahasiswaan Institut Teknologi Sepuluh Nopember,']",Saya tidak tahu.
3,Apa kode mata kuliah untuk Kimia 1 di Semester Regular?,Kode mata kuliah untuk Kimia 1 di Semester Regular adalah SK234101.,"['11. Peraturan Rektor Institut Tek:nologi Sepuluh Nopember Nomor 16 Tahun 2021 tentang Biaya Pendidikan;\n12. Peraturan Rektor Institut Tek:nologi Sepuluh Nopember Nomor 22 Tahun 2021 tentang Penyelenggaraan Kegiatan Merdeka Belajar Kampus Merdeka di Institut Teknologi Sepuluh Nopember;\n13. Peraturan Rektor Institut Tek:nologi Sepuluh Nopember Nomor 9 Tahun 2022 tentang Satuan Kegiatan Estra Kurikuler Mahasiswa Institut Teknologi Sepuluh Nopember;', 'c. bahwa, berdasarkan pertimbangan sebagaimana dimaksud dalam huruf a dan huruf b, tersebut di atas, perlu ditetapkan peraturan Rektor Institut Teknologi Sepuluh Nopember tentang Pemberian Apresiasi Bagi Mahasiswa Berprestasi dan Dosen Pembimbing di Bidang Kompetisi Kemahasiswaan Institut Teknologi Sepuluh Nopember,', 'Menetapkan\n\nMEMUTUSKAN:\nPERATURAN REKTOR INSTITUT TEKNOLOGI SEPULUH NOPEMBER TENTANG PEMBERIAN APRESIASI BAGI MAHASISWA BEPRESTASI DAN DOSEN PEMBIMBING DI BIDANG KEMAHASISW AAN INSTITUT TEKNOLOGI SEPULUH NOPEMBER.\n\nBAB!\nKETENTUAN UMUM', 'Pasal 9\nKetentuan lebih lanjut mengenai syarat, prosedur dan bentuk apresiasi diatur lebih lanjut dalam petunjuk teknis Wakil Rektor yang membidangi kemahasiswaan.\n\nBAB VI\nKETENTUAN PENUTUP\n\nPasal 10\nPada saat Peraturan Rektor ini mulai berlaku, Peraturan Rektor Institut Teknologi Sepuluh Nopember Nomor 27 Tahun 2022 tentang Pemberian Apresiasi Bagi Mahasiswa Beprestasi dan Dosen Pembimbing di Bidang Kompetisi Kemahasiswaan lnstitut Teknologi Sepuluh Nopember, dicabut dan dinyatakan tidak berlaku.\n\nPasal 11\nPeraturan Rektor ini mulai berlaku pada tanggal ditetapkan.\n\nDitetapkan di Surabaya\npada tanggal 3 Januari 2023\nREKTOR INSTITUT TEKNOLOGI SEPULUH NOPEMBER,\n\n\n\n\nMOCHAMAD ASHARI\nNIP 196510121990031003']",Saya tidak tahu.
4,Pada hari apa dan jam berapa kelas Kimia 1 untuk Semester Regular berlangsung?,"Kelas Kimia 1 untuk Semester Regular berlangsung pada hari Selasa dan Kamis, pukul 07.00-08.40","['11. Peraturan Rektor Institut Tek:nologi Sepuluh Nopember Nomor 16 Tahun 2021 tentang Biaya Pendidikan;\n12. Peraturan Rektor Institut Tek:nologi Sepuluh Nopember Nomor 22 Tahun 2021 tentang Penyelenggaraan Kegiatan Merdeka Belajar Kampus Merdeka di Institut Teknologi Sepuluh Nopember;\n13. Peraturan Rektor Institut Tek:nologi Sepuluh Nopember Nomor 9 Tahun 2022 tentang Satuan Kegiatan Estra Kurikuler Mahasiswa Institut Teknologi Sepuluh Nopember;', 'Menetapkan\n\nMEMUTUSKAN:\nPERATURAN REKTOR INSTITUT TEKNOLOGI SEPULUH NOPEMBER TENTANG PEMBERIAN APRESIASI BAGI MAHASISWA BEPRESTASI DAN DOSEN PEMBIMBING DI BIDANG KEMAHASISW AAN INSTITUT TEKNOLOGI SEPULUH NOPEMBER.\n\nBAB!\nKETENTUAN UMUM', 'Pasal 9\nKetentuan lebih lanjut mengenai syarat, prosedur dan bentuk apresiasi diatur lebih lanjut dalam petunjuk teknis Wakil Rektor yang membidangi kemahasiswaan.\n\nBAB VI\nKETENTUAN PENUTUP\n\nPasal 10\nPada saat Peraturan Rektor ini mulai berlaku, Peraturan Rektor Institut Teknologi Sepuluh Nopember Nomor 27 Tahun 2022 tentang Pemberian Apresiasi Bagi Mahasiswa Beprestasi dan Dosen Pembimbing di Bidang Kompetisi Kemahasiswaan lnstitut Teknologi Sepuluh Nopember, dicabut dan dinyatakan tidak berlaku.\n\nPasal 11\nPeraturan Rektor ini mulai berlaku pada tanggal ditetapkan.\n\nDitetapkan di Surabaya\npada tanggal 3 Januari 2023\nREKTOR INSTITUT TEKNOLOGI SEPULUH NOPEMBER,\n\n\n\n\nMOCHAMAD ASHARI\nNIP 196510121990031003', 'c. bahwa, berdasarkan pertimbangan sebagaimana dimaksud dalam huruf a dan huruf b, tersebut di atas, perlu ditetapkan peraturan Rektor Institut Teknologi Sepuluh Nopember tentang Pemberian Apresiasi Bagi Mahasiswa Berprestasi dan Dosen Pembimbing di Bidang Kompetisi Kemahasiswaan Institut Teknologi Sepuluh Nopember,']",Saya tidak mengetahui informasi tersebut.
5,Di lantai berapa dan ruangan mana kelas Fisika Mekanika di Semester IUP?,"Kelas Fisika Mekanika di Semester IUP berada di Tower 1, Lt. 6, ruang TW1-606.","['11. Peraturan Rektor Institut Tek:nologi Sepuluh Nopember Nomor 16 Tahun 2021 tentang Biaya Pendidikan;\n12. Peraturan Rektor Institut Tek:nologi Sepuluh Nopember Nomor 22 Tahun 2021 tentang Penyelenggaraan Kegiatan Merdeka Belajar Kampus Merdeka di Institut Teknologi Sepuluh Nopember;\n13. Peraturan Rektor Institut Tek:nologi Sepuluh Nopember Nomor 9 Tahun 2022 tentang Satuan Kegiatan Estra Kurikuler Mahasiswa Institut Teknologi Sepuluh Nopember;', 'Menetapkan\n\nMEMUTUSKAN:\nPERATURAN REKTOR INSTITUT TEKNOLOGI SEPULUH NOPEMBER TENTANG PEMBERIAN APRESIASI BAGI MAHASISWA BEPRESTASI DAN DOSEN PEMBIMBING DI BIDANG KEMAHASISW AAN INSTITUT TEKNOLOGI SEPULUH NOPEMBER.\n\nBAB!\nKETENTUAN UMUM', 'c. bahwa, berdasarkan pertimbangan sebagaimana dimaksud dalam huruf a dan huruf b, tersebut di atas, perlu ditetapkan peraturan Rektor Institut Teknologi Sepuluh Nopember tentang Pemberian Apresiasi Bagi Mahasiswa Berprestasi dan Dosen Pembimbing di Bidang Kompetisi Kemahasiswaan Institut Teknologi Sepuluh Nopember,', '8. Peraturan Rektor Institut Tek:nologi Sepuluh Nopember Nomor 16 Tahun 2019 tentang Hak dan Kewajiban Mahasiswa lnstitut Tek:nologi Sepuluh Nopember;\n9. Peraturan Rektor Institut Tek:nologi Sepuluh Nopember Nomor 24 Tahun 2019 tentang Organisasi dan Tata Kerja Institut Tek:nologi Sepuluh Nopember sebagaimana telah diubah dengan Peraturan Rektor Institut Teknologi Sepuluh Nopember Nomor 30 Tahun 2022 tentang Perubahan atas Peraturan Rektor Institut Teknologi Sepuluh Nopember Nomor 24 Tahun 2019;\n10. Peraturan Rektor Institut Teknologi Sepuluh Nopember Nomor 26 Tahun 2019 tentang Organisasi dan Tata Kerja Sekretaris lnstitut, Direktorat, Biro, Kantor, Perpustakaan, dan Unit di Lingkungan Institut Teknologi Sepuluh Nopember sebagaimana telah diubah terakhir dengan Peraturan Rektor Institut Teknologi Sepuluh Nopember Nomor 22 Tahun 2022 tentang Perubahan Kedua Peraturan Rektor Institut Teknologi Sepuluh Nopember Nomor 26 Tahun 2019;']",Saya tidak tahu.
6,Apa jadwal kuliah Bahasa Indonesia untuk Semester Regular?,"Jadwal kuliah Bahasa Indonesia untuk Semester Regular adalah Jum'at, pukul 09.00-10.40.","['11. Peraturan Rektor Institut Tek:nologi Sepuluh Nopember Nomor 16 Tahun 2021 tentang Biaya Pendidikan;\n12. Peraturan Rektor Institut Tek:nologi Sepuluh Nopember Nomor 22 Tahun 2021 tentang Penyelenggaraan Kegiatan Merdeka Belajar Kampus Merdeka di Institut Teknologi Sepuluh Nopember;\n13. Peraturan Rektor Institut Tek:nologi Sepuluh Nopember Nomor 9 Tahun 2022 tentang Satuan Kegiatan Estra Kurikuler Mahasiswa Institut Teknologi Sepuluh Nopember;', 'Menetapkan\n\nMEMUTUSKAN:\nPERATURAN REKTOR INSTITUT TEKNOLOGI SEPULUH NOPEMBER TENTANG PEMBERIAN APRESIASI BAGI MAHASISWA BEPRESTASI DAN DOSEN PEMBIMBING DI BIDANG KEMAHASISW AAN INSTITUT TEKNOLOGI SEPULUH NOPEMBER.\n\nBAB!\nKETENTUAN UMUM', 'Pasal 9\nKetentuan lebih lanjut mengenai syarat, prosedur dan bentuk apresiasi diatur lebih lanjut dalam petunjuk teknis Wakil Rektor yang membidangi kemahasiswaan.\n\nBAB VI\nKETENTUAN PENUTUP\n\nPasal 10\nPada saat Peraturan Rektor ini mulai berlaku, Peraturan Rektor Institut Teknologi Sepuluh Nopember Nomor 27 Tahun 2022 tentang Pemberian Apresiasi Bagi Mahasiswa Beprestasi dan Dosen Pembimbing di Bidang Kompetisi Kemahasiswaan lnstitut Teknologi Sepuluh Nopember, dicabut dan dinyatakan tidak berlaku.\n\nPasal 11\nPeraturan Rektor ini mulai berlaku pada tanggal ditetapkan.\n\nDitetapkan di Surabaya\npada tanggal 3 Januari 2023\nREKTOR INSTITUT TEKNOLOGI SEPULUH NOPEMBER,\n\n\n\n\nMOCHAMAD ASHARI\nNIP 196510121990031003', 'c. bahwa, berdasarkan pertimbangan sebagaimana dimaksud dalam huruf a dan huruf b, tersebut di atas, perlu ditetapkan peraturan Rektor Institut Teknologi Sepuluh Nopember tentang Pemberian Apresiasi Bagi Mahasiswa Berprestasi dan Dosen Pembimbing di Bidang Kompetisi Kemahasiswaan Institut Teknologi Sepuluh Nopember,']",Saya tidak tahu.
7,Berapa jumlah SKS untuk mata kuliah Pancasila di Semester IUP?,Mata kuliah Pancasila di Semester IUP memiliki 2 SKS.,"['11. Peraturan Rektor Institut Tek:nologi Sepuluh Nopember Nomor 16 Tahun 2021 tentang Biaya Pendidikan;\n12. Peraturan Rektor Institut Tek:nologi Sepuluh Nopember Nomor 22 Tahun 2021 tentang Penyelenggaraan Kegiatan Merdeka Belajar Kampus Merdeka di Institut Teknologi Sepuluh Nopember;\n13. Peraturan Rektor Institut Tek:nologi Sepuluh Nopember Nomor 9 Tahun 2022 tentang Satuan Kegiatan Estra Kurikuler Mahasiswa Institut Teknologi Sepuluh Nopember;', 'BAB V BENTUK APRESIASI\n\nPasal 8\n(1) Apresiasi Lomba Kementerian dan        Lomba Mandiri bagi dosen Pembimbing kompetisi yang diikuti oleh Mahasiswa yang meraih medali/juara berupa:\na. piagam/ sertifikat atau t.anda jasa;\nb. angka kredit kepegawaian (Kum B) untuk Beban Kerja Dosen (BKD) yang terintegrasi dengan sistem informasi kepegawaian ITS; dan/atau\nc. reward sesuai dengan SBI.\n(2) Apresiasi Lomba Kementerian dan Lomba Mandiri bagi Mahasiswa berupa:\na. reward sesuai dengan SBI;\nb. konversi nilai akademik (SKS) untuk setiap lomba yang diputuskan oleh tim\nreviewer Departemen;\nc. konversi nilai Satuan Kredit Ekstrakurikuler Mahasiswa (SKEM) untuk setiap lomba yang diputuskan oleh tim review direktorat yang mengurusi kemahasiswaan;dan/atau\nd. beasiswa Magister di seluruh program studi yang ada di ITS selama waktu\nyang ditentukan.\n(3) Setiap perolehan medali/juara di setiap kompetisi sebagaimana disebutkan dalam Pasal 6 ayat (2) juga mendapatkan apresiasi berupa nominal uang.', 'c. bahwa, berdasarkan pertimbangan sebagaimana dimaksud dalam huruf a dan huruf b, tersebut di atas, perlu ditetapkan peraturan Rektor Institut Teknologi Sepuluh Nopember tentang Pemberian Apresiasi Bagi Mahasiswa Berprestasi dan Dosen Pembimbing di Bidang Kompetisi Kemahasiswaan Institut Teknologi Sepuluh Nopember,', 'Menetapkan\n\nMEMUTUSKAN:\nPERATURAN REKTOR INSTITUT TEKNOLOGI SEPULUH NOPEMBER TENTANG PEMBERIAN APRESIASI BAGI MAHASISWA BEPRESTASI DAN DOSEN PEMBIMBING DI BIDANG KEMAHASISW AAN INSTITUT TEKNOLOGI SEPULUH NOPEMBER.\n\nBAB!\nKETENTUAN UMUM']",Saya tidak tahu.
8,Pada hari apa kelas Kewarganegaraan untuk Semester IUP dijadwalkan?,"Kelas Kewarganegaraan untuk Semester IUP dijadwalkan pada hari Selasa, pukul 11.00-12.40.","['Menetapkan\n\nMEMUTUSKAN:\nPERATURAN REKTOR INSTITUT TEKNOLOGI SEPULUH NOPEMBER TENTANG PEMBERIAN APRESIASI BAGI MAHASISWA BEPRESTASI DAN DOSEN PEMBIMBING DI BIDANG KEMAHASISW AAN INSTITUT TEKNOLOGI SEPULUH NOPEMBER.\n\nBAB!\nKETENTUAN UMUM', '11. Peraturan Rektor Institut Tek:nologi Sepuluh Nopember Nomor 16 Tahun 2021 tentang Biaya Pendidikan;\n12. Peraturan Rektor Institut Tek:nologi Sepuluh Nopember Nomor 22 Tahun 2021 tentang Penyelenggaraan Kegiatan Merdeka Belajar Kampus Merdeka di Institut Teknologi Sepuluh Nopember;\n13. Peraturan Rektor Institut Tek:nologi Sepuluh Nopember Nomor 9 Tahun 2022 tentang Satuan Kegiatan Estra Kurikuler Mahasiswa Institut Teknologi Sepuluh Nopember;', 'c. bahwa, berdasarkan pertimbangan sebagaimana dimaksud dalam huruf a dan huruf b, tersebut di atas, perlu ditetapkan peraturan Rektor Institut Teknologi Sepuluh Nopember tentang Pemberian Apresiasi Bagi Mahasiswa Berprestasi dan Dosen Pembimbing di Bidang Kompetisi Kemahasiswaan Institut Teknologi Sepuluh Nopember,', 'Pasal 9\nKetentuan lebih lanjut mengenai syarat, prosedur dan bentuk apresiasi diatur lebih lanjut dalam petunjuk teknis Wakil Rektor yang membidangi kemahasiswaan.\n\nBAB VI\nKETENTUAN PENUTUP\n\nPasal 10\nPada saat Peraturan Rektor ini mulai berlaku, Peraturan Rektor Institut Teknologi Sepuluh Nopember Nomor 27 Tahun 2022 tentang Pemberian Apresiasi Bagi Mahasiswa Beprestasi dan Dosen Pembimbing di Bidang Kompetisi Kemahasiswaan lnstitut Teknologi Sepuluh Nopember, dicabut dan dinyatakan tidak berlaku.\n\nPasal 11\nPeraturan Rektor ini mulai berlaku pada tanggal ditetapkan.\n\nDitetapkan di Surabaya\npada tanggal 3 Januari 2023\nREKTOR INSTITUT TEKNOLOGI SEPULUH NOPEMBER,\n\n\n\n\nMOCHAMAD ASHARI\nNIP 196510121990031003']",Saya tidak mengetahui jadwal kelas Kewarganegaraan untuk Semester IUP.
9,Di mana lokasi ruang kelas untuk kuliah Agama Islam di Semester IUP?,"Lokasi ruang kelas untuk kuliah Agama Islam di Semester IUP adalah di Tower 1, Lt. 3, ruang TW1-304.","['11. Peraturan Rektor Institut Tek:nologi Sepuluh Nopember Nomor 16 Tahun 2021 tentang Biaya Pendidikan;\n12. Peraturan Rektor Institut Tek:nologi Sepuluh Nopember Nomor 22 Tahun 2021 tentang Penyelenggaraan Kegiatan Merdeka Belajar Kampus Merdeka di Institut Teknologi Sepuluh Nopember;\n13. Peraturan Rektor Institut Tek:nologi Sepuluh Nopember Nomor 9 Tahun 2022 tentang Satuan Kegiatan Estra Kurikuler Mahasiswa Institut Teknologi Sepuluh Nopember;', 'KEMENTERIAN PENDIDIKAN, KEBUDAYAAN, RISET, DAN TEKNOLOGI\nINSTITUT TEKNOLOGI SEPULUH NOPEMBER\n       Kampus ITS Sukolilo - Surabaya 60111 Telepon : 031-5994251-54, 5947274, 5945472 (Hunting)\nFax: 031-5947264, 5950806\nhttp://www.its.ac.id\n\n\nPERATURAN REKTOR INSTITUT TEKNOWGI SEPULUH NOPEMBER NOMOR 7 TAHUN 2023\n\nTENTANG\n\nPEMBERIAN APRESIASI BAGI MAHASISWA BEPRESTASI\nDAN DOSEN PEMBIMBING DI BIDANG KOMPETISI KEMAHASISWAAN INSTITUT TEKNOWGI SEPULUH NOPEMBER', 'Menetapkan\n\nMEMUTUSKAN:\nPERATURAN REKTOR INSTITUT TEKNOLOGI SEPULUH NOPEMBER TENTANG PEMBERIAN APRESIASI BAGI MAHASISWA BEPRESTASI DAN DOSEN PEMBIMBING DI BIDANG KEMAHASISW AAN INSTITUT TEKNOLOGI SEPULUH NOPEMBER.\n\nBAB!\nKETENTUAN UMUM', 'c. bahwa, berdasarkan pertimbangan sebagaimana dimaksud dalam huruf a dan huruf b, tersebut di atas, perlu ditetapkan peraturan Rektor Institut Teknologi Sepuluh Nopember tentang Pemberian Apresiasi Bagi Mahasiswa Berprestasi dan Dosen Pembimbing di Bidang Kompetisi Kemahasiswaan Institut Teknologi Sepuluh Nopember,']",Saya tidak tahu.
