question,context
Apa itu Beasiswa Prioritas?,"Beasiswa Prioritas merupakan program beasiswa yang memberikan kesempatan kepada pendaftar untuk dapat melakukan pendaftaran pada dua program sekaligus, yaitu pada program Beasiswa Kemitraan/Kerja Sama LPDP dan pada salah satu program Beasiswa Afirmasi/Beasiswa Targeted/Beasiswa Umum tujuan luar negeri."
Apa itu Beasiswa Prioritas LPDP – Campus France Program Master?,"Beasiswa Prioritas LPDP – Campus France Program Master memberikan kesempatan bagi pendaftar untuk dapat melakukan pendaftaran pada Beasiswa Kemitraan LPDP – Campus France dan beasiswa Magister Luar Negeri pada salah satu program: Beasiswa Afirmasi, Beasiswa Targeted, atau Beasiswa Umum."
Apakah tujuan dari Beasiswa Kemitraan LPDP - Campus France?,Beasiswa Kemitraan LPDP - Campus France merupakan beasiswa kerja sama antara LPDP dan Pemerintah Perancis pada jenjang master untuk bidang prioritas pembangunan Indonesia sesuai dengan keahlian pengetahuan yang dimiliki oleh Universitas di Perancis dalam rangka menghasilkan pemimpin masa depan Indonesia yang kompeten di bidang tersebut.
Siapa sasaran Beasiswa Prioritas LPDP – Campus France Program Master?,Sasaran Beasiswa Prioritas LPDP – Campus France Program Master: 1. Warga Negara Indonesia (WNI) 2. PNS/TNI/POLRI
Seperti Apa Skema Prioritas LPDP – Campus France Program Master?,Pendaftar wajib mendaftar secara bersamaan pada beasiswa Kemitraan LPDP – Campus France Program Master dan salah satu program Magister beasiswa Afirmasi/Targeted/Umum tujuan luar negeri.
Apa syarat pendaftaran Beasiswa Prioritas LPDP – Campus France Program Master?,Syarat pendaftaran: 1. Warga Negara Indonesia. 2. Telah menyelesaikan studi program diploma empat (D4) atau sarjana (S1). 3. Pendaftar yang telah menyelesaikan studi magister (S2) tidak diizinkan mendaftar.
Apa syarat khusus pendaftaran Beasiswa Kemitraan LPDP – Campus France Program Master?,Syarat khusus: 1. Beasiswa hanya untuk Program Master sesuai daftar program studi dan universitas terlampir. 2. Pendaftar diharuskan melakukan pendaftaran pada universitas dan Campus France sesuai jadwal dan ketentuan yang berlaku.
Apa ketentuan batas usia untuk pendaftar?,Ketentuan batas usia: Pendaftar non CPNS/PNS paling tinggi berusia 35 tahun. Pendaftar Pegawai Sipil Negara (PNS) paling tinggi 37 tahun. Pendaftar Pegawai Sipil Negara dengan jabatan fungsional sebagai Peneliti/Perekayasa/Medis/Paramedis/Pendidik paling tinggi 42 tahun. Pendaftar Prajurit TNI atau anggota POLRI paling tinggi 40 tahun.
Dokumen apa saja yang perlu diunggah saat mendaftar?,"Dokumen yang perlu diunggah: Dokumen Indeks Prestasi Kumulatif (IPK) dengan skor minimal 3,0 pada skala 4,00, Sertifikat kemampuan bahasa Inggris dengan skor minimal TOEFL iBT® 80 atau IELTS™ 6.5, Surat rekomendasi dari akademisi atau tokoh masyarakat."
Bagaimana cara mendaftar Beasiswa LPDP?,Cara mendaftar: 1. Mendaftar secara online pada situs Pendaftaran Beasiswa LPDP: https://beasiswalpdp.kemenkeu.go.id/. 2. Memilih menu Beasiswa Prioritas. 3. Melengkapi dan mengunggah semua dokumen yang dipersyaratkan. 4. Pastikan melakukan submit aplikasi pendaftaran untuk mendapatkan kode registrasi/pendaftaran.
Bagaimana cara melengkapi dokumen di aplikasi pendaftaran?,"Melengkapi dokumen di aplikasi: Biodata Diri, Kartu Tanda Penduduk (KTP), Scan Ijazah S1 atau SKL, Surat pemberhentian mahasiswa (jika tidak menyelesaikan studi master), Scan Transkrip Nilai S1, Dokumen penyetaraan ijazah atau tangkapan layar pengajuan penyetaraan ijazah, Dokumen konversi IPK atau tangkapan layar pengajuan konversi IPK, Sertifikat Bahasa Asing, Surat rekomendasi dari akademisi atau tokoh masyarakat."
Apa saja tahapan dan jadwal Beasiswa Prioritas LPDP – Campus France Program Master?,Tahapan dan jadwal: 1. Seleksi Administrasi: 15 – 28 Februari 2024. 2. Seleksi Bakat Skolastik: 18 – 27 Maret 2024. 3. Seleksi Substansi: 18 – 27 Maret 2024. Pendaftaran: 11 Januari – 12 Februari 2024. Pengumuman Hasil Seleksi Administrasi: 1 Maret 2024. Pegajuan Sanggah Hasil Seleksi Administrasi: 2 - 3 Maret 2024. Pengumuman Hasil Sanggah Seleksi Administrasi: 14 Maret 2024. Short Listed: 3 April 2024. LoA Unconditional dari Kampus Tujuan: 27 Mei 2024. Pengumuman Hasil Seleksi Substansi: 10 Juni 2024. Mulai Perkuliahan Paling Cepat: Juli 2024.
