question,context
Apa saja mitra magang untuk Program Magang di ITS?,"Program Magang di ITS Berdasarkan Mitra Magang:
1. BUMN
2. Non BUMN
3. ITS
4. UKM/Kewirausahaan"
Apa saja jalur magang di ITS?,"Berdasarkan Jalur Magang:
1. PMMB
2. Non PMMB
3. Mandiri
4. Kerjasama"
Apa saja persyaratan mahasiswa untuk mengikuti PMMB?,"Persyaratan Mahasiswa:
1. Mahasiswa aktif
2. Minimal semester 6
3. Minimal IPK 2,75
4. Bersedia magang selama 6 bulan"
Apa saja kelengkapan berkas yang harus disiapkan oleh mahasiswa untuk PMMB?,"Kelengkapan Berkas:
1. CV
2. Transkrip Nilai
3. Surat Rekomendasi dari Departemen
4. Fakta Integritas"
Apa saja hak mahasiswa dalam Program Magang Mahasiswa Bersertifikat (PMMB)?,"Hak Magang PMMB:
1. Mendapatkan sertifikat industri dan/atau kompetensi
2. Tidak wajib cuti
3. Mendapatkan uang saku
4. Mengkonversikan kegiatan magang"
Bagaimana timeline pelaksanaan PMMB?,"Timeline PMMB:
1. 10-16 Juli: Pendaftaran di ITS
2. 16-19 Juli: ITS mengupload data kandidat mahasiswa magang
3. 20 Juli: Workshop hasil match up
4. 20-25 Juli: Seleksi ITS
5. 26 Juli: Match up oleh FHCI
6. 29-30 Juli: Penyusunan PKS
7. 1 Agustus: Start pelaksanaan magang batch 2 2020"
Bagaimana konversi kegiatan magang dalam PMMB?,"Konversi Magang:
1. Kerja praktek
2. Satu atau beberapa MK yang memiliki CPL setara dengan kegiatan magang (disarankan lebih ke MK pilihan)
3. Gabungan kerja praktek dan satu atau beberapa MK yang memiliki CPL setara dengan kegiatan magang
4. MK pilihan magang (diupayakan masuk dalam kurikulum)"
Apa kriteria pekerjaan yang bisa dikerjakan oleh tenaga magang mahasiswa?,"Kriteria Pekerjaan yang Bisa Dikerjakan oleh Tenaga Magang Mahasiswa:
1. Bukan merupakan pekerjaan utama (core)
2. Bukan merupakan pekerjaan rutin
3. Merupakan pekerjaan pengembangan/proyek
4. Durasi magang maksimal 6 bulan"
Apa yang dimaksud dengan Pola Magang 1 di lingkungan ITS?,"Pola Magang 1:
1. Magang yang dianggap sebagai tenaga kontrak/magang.
2. Tidak ada nilai yang dikonversikan ke MK magang/MK lain.
3. Mendapatkan hak dan kewajiban sebagai tenaga kontrak.
4. Mendapatkan SKEM dan sertifikat magang.
5. Durasi magang sesuai kebutuhan unit."
Apa yang dimaksud dengan Pola Magang 2 di lingkungan ITS?,"Pola Magang 2:
1. Magang yang dikonversikan dengan mata kuliah yang selaras dengan CPL MK tersebut.
2. Akan mendapatkan sertifikat magang.
3. Durasi magang maksimal 6 bulan."
