question,context
Apa yang harus dipersiapkan peserta sidang proposal tesis sebelum pelaksanaan sidang?,"Peserta sidang proposal tesis menyiapkan perangkat laptop yang memadai dan jaringan internet yang stabil serta berada di tempat yang kondusif.
 Peserta sidang proposal tesis menyiapkan aplikasi Zoom dengan fitur kamera dan audio yang dapat berfungsi dengan baik.
 Peserta sidang proposal tesis menyiapkan file presentasi berupa PPT dan draft proposal tesis."
Berapa lama durasi waktu yang diberikan untuk sidang proposal tesis?,"Waktu sidang proposal tesis berlangsung selama 60 menit, 15 menit presentasi dan 45 menit tanya jawab."
Kapan peserta sidang proposal tesis disarankan untuk standby sebelum sidang dimulai?,Peserta sidang proposal tesis disarankan untuk standby 30 menit sebelum jadwal yang ditentukan dan dapat bergabung pada link zoom meeting sesuai jadwal yang telah ditentukan atau sesuai instruksi dari dosen pembimbing/penguji.
Apa dresscode yang harus dipakai oleh peserta sidang proposal tesis?,Peserta sidang proposal tesis memakai dresscode berupa kemeja lengan panjang dan berdasi (laki-laki) dan memakai kemeja dengan blazer tanpa berdasi (perempuan).
Apa yang wajib dilakukan oleh peserta sidang proposal tesis selama sidang berlangsung?,"Selama sidang proposal tesis, peserta sidang proposal tesis wajib menggunakan virtual background yang dapat diunduh melalui https://bit.ly/VBProposalTesis dan kamera diharapkan selalu menyala (ON)."
Apa yang diharapkan dari peserta sidang proposal tesis selama sesi diskusi dan tanya jawab?,"Selama sesi diskusi dan tanya jawab, peserta sidang proposal tesis diharapkan dapat mencatat masukan dan koreksi dari dosen penguji."
Di mana peserta sidang proposal tesis dapat mengunduh virtual background yang harus digunakan selama sidang?,"Selama sidang proposal tesis, peserta sidang proposal tesis wajib menggunakan virtual background yang dapat diunduh melalui https://bit.ly/VBProposalTesis dan kamera diharapkan selalu menyala (ON)."
Bagaimana informasi mengenai link Zoom meeting sidang proposal tesis diberikan kepada peserta sidang proposal tesis?,Link Zoom meeting sidang proposal tesis akan diinfokan H-1 melalui grup Whatsapp.
Apa yang harus dilakukan peserta selama sesi tanya jawab dalam sidang proposal tesis?,"Selama sesi diskusi dan tanya jawab, peserta sidang proposal tesis diharapkan dapat mencatat masukan dan koreksi dari dosen penguji."
Bagaimana kondisi perangkat dan tempat yang harus disiapkan oleh peserta sidang proposal tesis?,Peserta sidang proposal tesis menyiapkan perangkat laptop yang memadai dan jaringan internet yang stabil serta berada di tempat yang kondusif.
