question,context
Kapan Wisuda ITS ke 129 akan dilaksanakan?,Sehubungan dengan akan dilaksanakan Wisuda 129 Periode April 2024 yang akan dilaksanakan secara offline pada tanggal 20-21 April 2024.
Dimana lokasi pelaksanaan Wisuda ITS ke 129?,Wisuda ITS ke 129 dilaksanakan secara offline di Gedung Graha Sepuluh Nopember.
Dari mana calon wisudawan dapat mengambil toga dan pemesanan foto prosesi?,"Pengambilan Gordon, Toga dan Pemesanan Foto Prosesi serta Undangan di gedung Dharma Wanita Persatuan ITS sesuai dengan jadwal yang telah ditentukan."
Berapa biaya wisuda untuk program Magister dan Doktor?,"Biaya wisuda sebesar Rp. 1.000.000,- (Satu juta rupiah) khusus program Magister dan Doktor, dibayarkan dengan sistem host to host, melalui bank Mandiri, BRI, BNI, dan BSI mulai tanggal 4 s.d 15 Maret 2024, dengan cara menyebutkan angka 93 dilanjutkan dengan NRP."
Kapan pembayaran biaya wisuda dapat dilakukan?,Pembayaran biaya wisuda dapat dilakukan mulai tanggal 4 s.d 15 Maret 2024.
Apa saja persyaratan untuk peminjaman toga bagi wisudawan S1 dan S1 Terapan?,"Syarat, Ketentuan dan Teknis Peminjaman Toga: Membayar Biaya Jaminan Toga Rp. 300.000,- (Tiga Ratus Ribu Rupiah)"
Apa ketentuan pembayaran untuk wisudawan asing dan wisudawan non UKT S2 dan S3?,"Wisudawan ASING dan Wisudawan Non UKT S2 & S3: Membayar biaya Sewa dan Jaminan Toga Rp. 550.000,- (Lima ratus lima puluh ribu rupiah)"
Apa langkah yang harus diambil setelah melakukan transfer pembayaran sewa toga?,Bukti pembayaran upload di form Peminjaman Toga di wisuda.dwpits.id
Kapan pengembalian toga harus dilakukan?,Pengembalian Toga tanggal 22 April 2024.
Siapa yang bisa dihubungi terkait pengembalian uang jaminan toga oleh BNI?,"Contact Person (CP) BNI perihal pengembalian uang jaminan: Ibu Inna Nurdianti, 0819 3812 5893."
